similarity	title
1.0	就差拉钢铁了
0.7269999980926514	黄金先看多，短线操作上1937-38多。
0.7269999980926514	九月就是黄金月
0.7210000157356262	华丰机械很厉害，哈哈哈哈。
0.6869999766349792	最后只有拉钢铁撑大盘了！别的都拉完了
0.6690000295639038	黄金破2000紫金矿业要起飞
0.6639999747276306	近期的龙头，可爱不
0.6639999747276306	买入目前未启动上海自贸龙头。。。
0.6639999747276306	龙头龙头，寻找龙头。
0.6639999747276306	我特么重仓干白马龙头[大笑]
0.6639999747276306	铁矿暴涨
0.6589999794960022	再次失败，3458铁顶了？
0.6460000276565552	上涨又不放量你涨锤子啊
0.6460000276565552	整个下午一点异动都没有你玩个锤子
0.6430000066757202	湖北能源，给我冲！
0.6259999871253967	中石油巨亏，为什么不跌
0.625	方大炭素该表演了
0.6179999709129333	以后水里放些石头，看还珧不
0.6179999709129333	今天2.30之前记得往水里扔石头[大笑]
0.6150000095367432	看看漳泽电力看看漳泽电力
0.6150000095367432	看看漳泽电力，看看漳泽电力
0.6150000095367432	电力股启动了
0.6140000224113464	加仓水泥
0.6140000224113464	我坚持看好水泥。
0.6029999852180481	黄金日内看冲高回落，期货黄金1978附近空
0.6019999980926514	今天拿下3450点！金色的九月！开门红
0.6000000238418579	金融，金属都射
0.597000002861023	哈哈哈哈变僵尸了
0.593999981880188	展示下中国韧性嗷！
0.5889999866485596	说好的双头呢？
0.5889999866485596	还说双头嘛？嗯？
0.5879999995231628	实现军事现代化把我国重工业机械工业搞上去
0.5860000252723694	300166加油吧，能不能象其他的大涨20%
0.5860000252723694	看着象下跌中继
0.5849999785423279	盘龙柱，仰头
0.5839999914169312	今天又看军工了
0.5839999914169312	又是军工天下
0.5839999914169312	军工霍元甲在哪里？
0.5839999914169312	可惜实在没弹药了
0.5839999914169312	军工今天最后一涨！撤！
0.5839999914169312	华中数控属不属于军工
0.5830000042915344	补完缺口了
0.5830000042915344	缺口必补
0.5830000042915344	看看今天的缺口会不会补，如果全天在缺口下面震荡，那么无疑将迎来一次快速下探
0.5830000042915344	小小的跳空缺口肯定回补
0.5830000042915344	盘中补齐缺口，突破随时开始
0.5830000042915344	折腾来折腾去，你还得回补下缺口！[大笑][大笑][大笑][俏皮][俏皮][俏皮]
0.5830000042915344	补掉今天缺口赶紧涨
0.5830000042915344	你倒是快点跌啊，磨磨唧唧的缺口不补你是不罢休的，搞的其他股都跳水大跌！
0.5830000042915344	缺口已补，本周继续砸盘
0.5830000042915344	缺口补了涨哟1号了
0.5830000042915344	缺口不补等待何时？赶紧跌吧！涨的我心慌！
0.5830000042915344	下来把缺口补了吧这样长久一些
0.5830000042915344	完美的把上午高开缺口填补了，完美的诱多
0.5830000042915344	下来把缺口补了吧！磨磨唧唧的
0.5830000042915344	又补跳空缺口
0.5830000042915344	缺口补上了
0.5830000042915344	要回补7月6号跳空高开的缺口
0.5830000042915344	要不3155的缺口！
0.5830000042915344	缺口终于补了，明天红九月
0.5830000042915344	好了缺口补了，可以安心一点了
0.5830000042915344	是不是有一个小缺口？？？？
0.5830000042915344	2点半补上缺口就起来了[大笑][大笑]
0.5830000042915344	又TM留个缺口，真是醉了
0.5830000042915344	今天砸就对了，不然这个缺口明天不好补
0.5830000042915344	跳空缺口太扯淡了
0.5830000042915344	今天这个缺口必须补，
0.5830000042915344	把缺口补了，9月开门红？
0.5830000042915344	缺口必补别追高了。
0.5830000042915344	补个缺口来的费劲！
0.5830000042915344	补完缺口继续上。
0.5830000042915344	今天就把缺口补了
0.5830000042915344	下来吧！还留那一个多点缺口干啥
0.5830000042915344	又弄了一个缺口
0.5830000042915344	信不信今天没缺口
0.5830000042915344	这次反弹就是上来补上面的缺口的
0.5830000042915344	一天缺口不补就危险一天
